"","data.genotype.diff","data.genotype.lwr","data.genotype.upr","data.genotype.p.adj"
"4b_2-4b_1",0.0947666666666667,-0.234986800023441,0.424520133356774,0.920465807364673
"4b_4-4b_1",0.321633333333333,-0.00812013335677425,0.651386800023441,0.0574111637958084
"Col_0-4b_1",0.686233333333333,0.356479866643226,1.01598680002344,0.000164084802326325
"Fip_37-4b_1",-1.02636666666667,-1.35612013335677,-0.696613199976559,2.61039328341983e-06
"Vir_1-4b_1",-1.1882,-1.51795346669011,-0.858446533309893,5.23722660239478e-07
"4b_4-4b_2",0.226866666666667,-0.102886800023441,0.556620133356774,0.26135119154309
"Col_0-4b_2",0.591466666666666,0.261713199976559,0.921220133356774,0.000656731018515266
"Fip_37-4b_2",-1.12113333333333,-1.45088680002344,-0.791379866643226,9.96429587174497e-07
"Vir_1-4b_2",-1.28296666666667,-1.61272013335677,-0.95321319997656,2.20848342169511e-07
"Col_0-4b_4",0.3646,0.0348465333098923,0.694353466690107,0.0274976133953804
"Fip_37-4b_4",-1.348,-1.67775346669011,-1.01824653330989,1.25582941046254e-07
"Vir_1-4b_4",-1.50983333333333,-1.83958680002344,-1.18007986664323,3.43860699913989e-08
"Fip_37-Col_0",-1.7126,-2.04235346669011,-1.38284653330989,8.71228422738568e-09
"Vir_1-Col_0",-1.87443333333333,-2.20418680002344,-1.54467986664323,3.30543792337323e-09
"Vir_1-Fip_37",-0.161833333333334,-0.491586800023441,0.167920133356774,0.585595010688987
